投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
567378,广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌发动机缸盖腐蚀变速箱顿挫异响,发动机缸体破损变速器异响变速器顿挫,2021-01-25,用户评分
567375,吉利汽车,帝豪GS,2020款 1.4T CVT 雅,吉利帝豪GS经销商出售问题车底盘有生锈,销售欺诈出售问题车,2021-01-25,用户评分
567373,吉利汽车,吉利ICON,2020款 1.5TD i9,吉利ICON车辆解锁功能失灵 承诺油卡未兑现,车身附件及电器中控锁故障车身附件及电器行车电脑故障承诺不兑现销售承诺不兑现承诺不兑现服务承诺不兑现,2021-01-25,处理反馈
567372,上汽集团,科莱威CLEVER,2020款 都市 风尚版,上汽荣威科莱威CLEVER悬挂系统异响,前后桥及悬挂系统悬挂故障,2021-01-25,用户评分
567368,上汽通用雪佛兰,沃兰多,2019款 Redline 530T 自动 纵享版（5+2款） 国VI,雪佛兰沃兰多购买延保服务后无法保修,承诺不兑现服务承诺不兑现,2021-01-25,处理反馈
567367,北京现代,伊兰特,2021款 1.5L LUX 尊贵版,北京现代伊兰特燃油泵故障一直无货,配件争议无零配件,2021-01-25,用户评分
567366,一汽奔腾,奔腾B30,2017款 1.6L 手动 舒适型,一汽奔腾B30轮毂掉漆厂家不索赔,车身附件及电器轮毂问题服务态度不予索赔,2021-01-25,用户评分
567364,北京现代,索纳塔,2020款 270TGDi GLS DCT 精英版,现代索纳塔检修师傅不专业售后经理态度恶劣,服务态度不解决问题服务态度态度蛮横人员技术维修技术差,2021-01-25,用户评分
567363,长安汽车,长安CS75 PLUS,2020款 2.0T 自动 领航型,长安CS75 PLUS发动机缺缸抖动经销商不解决,发动机抖动服务态度不解决问题,2021-01-25,处理反馈
567362,保时捷,保时捷718,2020款 Cayman 2.0T,保时捷718发动机控制装置故障要求厂家解决,发动机故障灯亮,2021-01-25,信息审核
567361,猎豹汽车,猎豹CS10,2017款 1.5T CVT 尊贵型,猎豹CS10发动机和变速箱故障灯灯亮,发动机故障灯亮变速器故障灯亮,2021-01-25,信息审核
567360,广汽丰田,凯美瑞,2013款 200E 2.0 自动 经典精英版,广汽丰田凯美瑞半轴防尘套出现漏油,前后桥及悬挂系统球笼套漏油,2021-01-25,用户评分
567359,奇瑞汽车,瑞麒G6,2011款 2.0T 自动 豪华型,奇瑞瑞麟G6电子驻车拉线损坏无配件,制动系统手刹故障配件争议无零配件,2021-01-25,处理反馈
567358,上汽大众,途观L,2018款 330TSI 自动 两驱 豪华版,大众途观L行驶时车内共振 方向盘抖动,转向系统抖动车身附件及电器车身共振,2021-01-25,处理反馈
567354,东风日产,奇骏,2019款 2.0L CVT 舒适版 5座 2WD,东风日产奇骏1800转到2000转时车身共振,车身附件及电器车身共振,2021-01-25,处理反馈
567353,北京现代,领动,2019款 1.5L CVT 智炫·精英型,现代领动发动机OVC阀故障配件未按时到货,发动机故障灯亮配件争议未按时到货,2021-01-25,用户评分
567352,北京奔驰,奔驰GLK,2015款 260 4MATIC 动感型 极致版 5座,北京奔驰GLK冷车启动异响 座椅皮层掉色,发动机异响车身附件及电器座椅故障,2021-01-25,处理反馈
567349,长城汽车,哈弗H6 Coupe,2016款 1.5T 手动 两驱精英型,哈弗H6 Coupe发动机盖A柱侧脱胶开裂,车身附件及电器部件开裂,2021-01-25,处理反馈
567347,北京奔驰,奔驰E级,2015款 260 L 改款,北京奔驰E级购车赠送的保养不给予服务,承诺不兑现服务承诺不兑现,2021-01-25,处理反馈
567346,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,吉利博越变速箱挡位灯和前雾灯与宣传不符,销售欺诈与宣传不符,2021-01-25,用户评分
567345,东风小康,风光580,2017款 1.5T 手动 豪华型,东风风光580发动机缸体破损存在质量问题,发动机异响发动机缸体破损,2021-01-25,处理反馈
567344,长城汽车,哈弗H2,2017款 1.5T 自动 两驱精英型 红标,哈弗H2出售库存车轮胎老化电子元件老化,销售欺诈出售库存车,2021-01-25,处理反馈
567343,东风雪铁龙,世嘉,2010款 1.6 自动 尚乐版 三厢,东风雪铁龙世嘉变速箱出现三挡锁死故障,变速器无法换挡,2021-01-25,处理反馈
567342,长安福特,翼搏,2013款 1.5 自动 尊贵型,长安福特翼搏变速箱顿挫拖挡无法加速,变速器顿挫变速器故障灯亮变速器无法加速变速器拖挡,2021-01-25,用户评分
567337,BEIJING汽车,BEIJING-EU5,2018款 R550 智领版,BEIJING-EU5经销商疑似出售问题车,销售欺诈出售问题车,2021-01-25,用户评分
567335,江铃集团新能源,江铃E200L,2016款 舒适型,江铃新能源江铃E200L加速踏板故障失去动力,发动机动力消失发动机油门故障,2021-01-25,处理反馈
567332,长城汽车,WEY VV6,2021款 2.0T 两驱 智享+,WEY VV6车顶控制盒异响 贴膜导致A柱油迹,车身附件及电器车内异味人员技术修出新问题,2021-01-25,处理反馈
567331,长安汽车,睿骋,2014款 1.8T 自动 尊贵周年版 国IV,长安睿骋发动机缸盖上排气管固定螺丝断裂,发动机漏气车身附件及电器部件开裂,2021-01-25,用户评分
567330,一汽丰田,锐志,2007款 2.5V 导航版 新锐志REIZ,一汽丰田锐志中控仪表台开裂老化,车身附件及电器仪表台开裂,2021-01-25,用户评分
567329,东风标致,标致2008,2014款 1.6L 自动 卓越版,东风标致2008行驶时变速箱顿挫报故障灯,变速器顿挫变速器故障灯亮,2021-01-25,用户评分
567327,上汽通用雪佛兰,探界者,2019款 535T 自动 驭界版 国VI,雪佛兰探界者车载互联无法与APP进行绑定,车身附件及电器车载互联故障,2021-01-25,用户评分
567326,威马汽车,威马EX5,2019款 EX5 Extra创新版400,威马EX5电池磨损 4S店却不予保修,车身附件及电器部件异常磨损服务态度不予索赔,2021-01-25,处理反馈
567325,一汽-大众,探岳,2019款 330TSI 两驱 豪华型Plus 国VI,一汽大众探岳变速箱异响明显希望处理,变速器异响,2021-01-25,用户评分
567322,一汽-大众奥迪,奥迪A3,2019款 Limousine 35 TFSI 时尚型 国VI,一汽大众奥迪A3发动机烧机油希望处理,发动机烧机油,2021-01-25,信息审核
567321,华晨宝马,宝马3系,2017款 320Li 时尚型,华晨宝马3系防冻液渗漏存在质量问题,发动机漏防冻液,2021-01-25,处理反馈
567320,长安汽车,长安欧尚X7,2020款 1.5T 自动 尊享型,长安欧尚X7变速箱顿挫 钥匙失灵 驻车故障,变速器顿挫车身附件及电器行车安全辅助系统故障车身附件及电器车身装饰脱落车身附件及电器车钥匙故障,2021-01-25,处理反馈
567315,奇瑞汽车,瑞虎3x,2018款 1.5L 自动 精英版,奇瑞瑞虎3x发动机故障灯亮 车门和刹车异响,发动机故障灯亮制动系统异响车身附件及电器门窗异响,2021-01-25,处理反馈
567314,上汽集团,荣威RX5,2017款 20T 自动 互联网智尊版,上汽荣威RX5天窗异响多次维修未解决,车身附件及电器天窗异响人员技术多次返修,2021-01-25,处理反馈
567313,长城汽车,哈弗H8,2015款 2.0T 四驱 豪华型 5座,哈弗H8摆臂异响 转向异响沉重 刹车泵漏油,转向系统异响转向系统打方向沉重制动系统漏油前后桥及悬挂系统减震器漏油前后桥及悬挂系统下摆臂故障,2021-01-25,处理反馈
567311,上汽通用雪佛兰,科沃兹,2016款 1.5L 自动 欣享版,雪佛兰科沃兹经销商使用翻新变速箱,配件争议使用旧件,2021-01-25,处理反馈
567310,上汽通用雪佛兰,景程,2013款 1.8L 手动 SE舒适版,雪佛兰景程挡把松动希望厂家处理问题,变速器挡把总成故障,2021-01-25,用户评分
567309,上汽大众,途观L,2020款 330TSI 自动 两驱 智动豪华版 国VI,上汽大众途观L右前门与A柱异响明显,车身附件及电器车身共振,2021-01-25,处理反馈
567305,福田汽车,时代领航,2014款 143马力 4.2米单排 栏板 轻卡(万里扬6挡)(BJ1043V9JBA-BG),福田时代领航货厢掉漆凹陷 刹车片断裂,制动系统异常磨损车身附件及电器漆面起泡开裂,2021-01-25,信息审核
567304,BEIJING汽车,BEIJING-X7,2020款 1.5TD DCT 致尚版,BEIJING-X7发动机故障灯亮 冷车启动异响,发动机异响发动机故障灯亮,2021-01-25,用户评分
567302,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动高速行驶时轻微转向卡顿,转向系统卡滞,2021-01-25,处理反馈
567301,长城汽车,哈弗H6,2021款 第三代 1.5T 自动 两驱 Max,哈弗H6经销商低开发票 强制上保险与收费,转向系统异响车身附件及电器车窗升降故障服务态度故意拖延服务收费变相收费销售欺诈变更价格,2021-01-25,用户评分
567300,北京奔驰,奔驰C级,2021款 C 260 L 运动版,奔驰C级电瓶故障反复维修存在安全隐患,车身附件及电器电瓶故障,2021-01-25,处理反馈
567299,BEIJING汽车,BEIJING-X7,2020款 1.5TD DCT 致尚版,BEIJING-X7新车发动机漏油要求补偿,发动机漏油人员技术操作不规范,2021-01-25,用户评分
567297,吉利汽车,博越,2020款 1.8TD DCT 智联PRO,吉利博越4S店未告知选配 补偿不合理,人员技术操作不规范,2021-01-25,用户评分
567294,一汽丰田,RAV4荣放,2020款 2.5L CVT 四驱 旗舰版 双擎,一汽丰田RAV4荣放机油增多 机油乳化严重,发动机机油增多发动机机油乳化,2021-01-25,处理反馈
567293,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾发动机烧机油 升降挡时异响,发动机烧机油变速器异响前后桥及悬挂系统车轮异响,2021-01-25,处理反馈
567292,一汽-大众,迈腾,2013款 1.8TSI 舒适型,大众迈腾变速箱机电单元格变速箱阀体故障,变速器电脑板故障,2021-01-25,处理反馈
567291,长城汽车,哈弗H6,2021款 1.5GDIT 自动 都市版,哈弗H6天窗异响售后多次处理未解决,车身附件及电器天窗异响,2021-01-25,处理反馈
567290,华晨宝马,宝马X1,2020款 sDrive25Li 领先型,华晨宝马X1冷车启动熄火希望尽快处理,发动机熄火,2021-01-25,处理反馈
567289,长安福特,蒙迪欧,2018款 EcoBoost 180 时尚型,长安福特蒙迪欧节气门漏油影响行驶安全,发动机漏油发动机抖动,2021-01-25,用户评分
567287,吉利汽车,缤越,2019款 运动款 260T DCT Battle 国VI 运动款,吉利缤越主驾驶车窗漏风维修后再次出现,车身附件及电器门窗漏风,2021-01-25,用户评分
567286,奔驰（进口）,奔驰GLE,2018款 GLE 320 4MATIC 动感型 臻藏版,进口奔驰GLE发动机熄火 转向系统故障,发动机熄火发动机无法启动转向系统故障灯亮车身附件及电器影音系统故障车身附件及电器后视镜故障,2021-01-25,用户评分
567284,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱提示紧急运行模式,变速器滑阀箱故障变速器电脑板故障,2021-01-25,用户评分
567283,上汽大众,朗逸,2019款 1.5L 自动 风尚版 国VI,上汽大众朗逸刹车片异响严重要求解决,制动系统异响,2021-01-25,处理反馈
567277,吉利汽车,帝豪,2015款 1.5L 手动 向上版 三厢,吉利帝豪车身多处存在生锈的现象,车身附件及电器车身生锈,2021-01-25,用户评分
567276,上汽通用雪佛兰,探界者,2018款 535T 四驱 拓界版,雪佛兰探界者行驶时变速箱异响抖动,变速器异响变速器抖动,2021-01-25,处理反馈
567275,上汽通用五菱,新宝骏RS-5,2020款 300T CVT 智能旗舰型,新宝骏RS-5变速箱无法升挡存在质量问题,变速器无法换挡,2021-01-25,处理反馈
567274,广汽乘用车,传祺GS4,2015款 200T G-DCT 豪华版,广汽传祺传祺GS4变速箱漏油维修无配件,变速器漏油配件争议无零配件,2021-01-25,处理反馈
567273,北京现代,瑞纳,2017款 1.4L 手动 焕彩版 国V,北京现代瑞纳发动机敲缸异响希望解决,发动机异响,2021-01-25,处理反馈
567272,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾高压油泵异响厂家不解决,发动机异响服务态度不解决问题,2021-01-25,处理反馈
567271,上汽大众斯柯达,柯珞克,2018款 TSI280 舒适版 国V,斯柯达柯珞克机电单元故障4S店不给交通补偿,承诺不兑现服务承诺不兑现,2021-01-25,用户评分
567269,一汽-大众,速腾,2015款 230TSI  自动 豪华型,一汽大众速腾高压油泵异响厂家置之不理,发动机异响,2021-01-25,用户评分
567266,奇瑞汽车,瑞虎3,2014款 1.6L 手动 风尚版 5座,奇瑞瑞虎3车身生锈而且车身多处存在异响,车身附件及电器车身生锈车身附件及电器车身异响,2021-01-25,信息审核
567265,丰田（进口）,兰德酷路泽（进口）,2015款 4.0L 中东低配版 V6,进口丰田兰德酷路泽经销商出售喷漆修复车辆,销售欺诈出售问题车,2021-01-25,处理反馈
567264,北京现代,悦动,2017款 1.6L 自动 悦值版 GLS,北京现代悦动中控台和方向盘异响严重,转向系统异响车身附件及电器中控台异响,2021-01-25,用户评分
567263,长安汽车,长安欧尚X7,2020款 1.5T 手动 豪华型,长安欧尚X7发生事故相撞气囊未弹出,车身附件及电器气囊未弹开,2021-01-25,处理反馈
567262,上汽大众,途观L新能源,2021款 430PHEV 插电混动 旗舰版,上汽大众途观L新能源经销商销售不讲诚信,服务收费定（订）金纠纷承诺不兑现销售承诺不兑现,2021-01-25,处理反馈
567261,长城汽车,WEY VV7,2019款 2.0T 旗舰型 升级版 国VI,WEY VV7 实车配置与宣传配置不同希望厂家处理,车身附件及电器车载互联故障车身附件及电器行车安全辅助系统故障销售欺诈与宣传不符,2021-01-25,处理反馈
567257,天津一汽,威志,2011款 1.5L 手动 精英型,天津一汽威志底盘严重锈蚀要求免费修复,车身附件及电器车身生锈,2021-01-25,信息审核
567255,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越厂家不履行车机系统的更新承诺,承诺不兑现服务承诺不兑现,2021-01-25,用户评分
567253,一汽丰田,卡罗拉,2021款 1.2T S-CVT 精英版,一汽丰田卡罗拉低速时变速箱顿挫异响,变速器异响变速器顿挫,2021-01-25,处理反馈
567248,一汽奔腾,奔腾B30EV,2019款 EV400,一汽奔腾B30EV水泵损坏厂家一直不解决,发动机冷却系统故障服务态度不解决问题,2021-01-25,用户评分
567244,北京现代,北京现代ix35,2015款 2.0L 自动 四驱 智能型 国V,北京现代ix35车辆启动困难存在质量问题,发动机无法启动,2021-01-25,处理反馈
567242,东风悦达起亚,起亚K3,2019款 1.5L CVT 智享互联版,起亚K3提供的远程UVO服务无法正常使用,车身附件及电器车载互联故障,2021-01-25,处理反馈
567241,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动行驶过程中方向盘卡顿,转向系统卡滞,2021-01-25,用户评分
567238,东风日产,轩逸,2018款 1.6XV CVT 尊享版,东风日产轩逸变速箱顿挫异响希望厂家处理,变速器异响变速器顿挫,2021-01-25,处理反馈
567234,东风小康,风光580,2017款 1.5T CVT 智尚型,东风风光580三元催化器故障要求索赔,车身附件及电器三元催化器故障,2021-01-25,用户评分
567232,广汽本田,锋范,2015款 1.5L CVT 豪华版,广汽本田锋范冷启动VTC执行器异响,发动机异响,2021-01-25,处理反馈
567231,上汽集团,名爵6,2018款 20T 自动 Trophy超级运动互联网版 国VI,上汽名爵6排放系统报警 变速箱异响,发动机排气故障变速器异响,2021-01-25,用户评分
567228,东风本田,INSPIRE,2019款 锐·混动 2.0L 净尚版 国VI,东风本田INSPIRE副驾驶侧车门无法落锁,车身附件及电器中控锁故障,2021-01-25,用户评分
567227,吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越高速时刹车和方向盘抖动严重,转向系统抖动制动系统抖动,2021-01-25,处理反馈
567226,吉利汽车,远景X6,2016款 1.3T CVT 旗舰型,吉利远景X6维修系统未录入不提供维修记录,服务流程不完善手续不齐服务流程不完善无维修工单,2021-01-25,处理反馈
567225,上汽大众斯柯达,速派,2019款 TSI280 DSG 舒适版,斯柯达速派中控台和车窗异响希望厂家处理,车身附件及电器车身异响车身附件及电器门窗异响车身附件及电器中控台异响车身附件及电器后备箱故障,2021-01-25,处理反馈
567223,东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂及掉块,轮胎开裂轮胎起皮,2021-01-25,处理反馈
567222,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L尾灯内部开裂车灯故障,车身附件及电器部件开裂车身附件及电器车灯不亮,2021-01-25,信息审核
567221,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动离合器二挡抖动 加速有冲击感,变速器抖动离合器抖动,2021-01-25,处理反馈
567218,星途,星途TX,2019款 TX 1.6T 四驱 铂金版,星途TX电池亏电严重导致空调无法启动,车身附件及电器电瓶故障,2021-01-25,信息审核
567217,东风日产,骐达TIIDA,2020款 1.6L CVT 智行版,日产骐达售后维修水平有限 处理后故障加重,车身附件及电器汽油箱异响人员技术多次返修,2021-01-25,用户评分
567216,华晨中华,中华骏捷FRV,2010款 1.3L 手动 舒适型,中华骏捷FRV汽油泵召回厂家无零配件,车身附件及电器汽油泵故障配件争议无零配件,2021-01-25,处理反馈
567215,沃尔沃亚太,沃尔沃XC60新能源,2019款 T8 E驱混动 智雅运动版 国VI,沃尔沃XC60新能源刹车异响真空泵故障,制动系统异响制动系统刹车泵故障,2021-01-25,用户评分
567214,吉利汽车,远景,2017款 1.5L 手动 幸福版,吉利远景车身生锈后备箱盖生锈存在质量问题,车身附件及电器车身生锈,2021-01-25,用户评分
567212,东风风行,景逸X5,2017款 1.5T CVT 智联型 劲享系列,东风风行景逸X5发动机漏油变速箱异响,发动机漏油变速器异响车身附件及电器车载互联故障,2021-01-25,用户评分
567209,星途,星途TX,2020款 1.6T 四驱 星享版,星途TX电瓶亏电导致发动机无法启动,车身附件及电器电瓶故障,2021-01-25,信息审核
567208,东风日产,天籁,2020款 2.0L XL Upper 智行版,日产天籁变速箱漏油汽油箱异响显示面板故障,变速器漏油车身附件及电器部件开裂车身附件及电器汽油箱异响,2021-01-25,用户评分
567206,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408提示电路故障请维修车辆,车身附件及电器电路故障,2021-01-25,处理反馈
567204,一汽-大众,高尔夫,2018款 230TSI 自动 舒适型,一汽大众高尔夫变速器升降挡时明显异响,变速器异响,2021-01-24,处理反馈
567203,奇瑞汽车,捷途X70 PLUS,2021款 1.6T DCT 辰 5座,捷途X70 PLUS车辆灯光暗影响行车安全,车身附件及电器车灯不亮,2021-01-24,处理反馈
567202,东风日产,轩逸,2020款 1.6L XL CVT 悦享版,东风日产轩逸中控显示器黑屏存在质量问题,车身附件及电器影音系统故障,2021-01-24,处理反馈
567200,一汽-大众奥迪,奥迪Q5,2015款 40 TFSI 舒适型 5座,一汽大众奥迪Q5发动机漏油烧机油 漏冷却液,发动机漏油发动机烧机油发动机漏防冻液,2021-01-24,用户评分
567199,上汽大众,途观L,2020款 330TSI 自动 两驱 智动豪华版 国VI,上汽大众途观L自动启停失灵 发动机油耗高,发动机油耗高车身附件及电器发动机启停系统故障,2021-01-24,处理反馈
567198,一汽奔腾,奔腾T99,2019款 20TD 自动 尊享型,一汽奔腾T99停放十天电瓶亏电无法启动,车身附件及电器电瓶故障,2021-01-24,处理反馈
567196,上汽大众斯柯达,柯米克,2020款 1.5L 自动 舒适版,斯柯达柯米克前挡风玻璃自然开裂,车身附件及电器玻璃开裂服务态度不解决问题,2021-01-24,用户评分
567194,奇瑞汽车,瑞虎7,2020款 1.5T CVT 精英型,奇瑞瑞虎7发动机舱右侧异响要求解决,发动机异响,2021-01-24,处理反馈
567192,上汽通用五菱,乐驰,2008款 1.0L 手动 豪华型,宝骏乐驰维修后车轮定位不准 ABS故障报警,制动系统ABS故障前后桥及悬挂系统四轮定位偏差服务态度不解决问题人员技术修出新问题,2021-01-24,处理反馈
567190,上汽通用雪佛兰,迈锐宝XL,2017款 1.5T 自动 锐驰版,雪佛兰迈锐宝XL高位刹车灯断裂漏水,车身附件及电器车灯进水车身附件及电器灯罩裂纹或变形,2021-01-24,用户评分
567189,华晨宝马,宝马3系,2020款 改款 325Li M运动曜夜套装,华晨宝马3系空调出风口断裂要求解决,车身附件及电器空调问题车身附件及电器部件开裂,2021-01-24,厂家受理
567188,东风雪铁龙,雪铁龙C4L,2015款 1.8L 自动 豪华版,东风雪铁龙C4L汽油泵故障 发动机烧机油,发动机烧机油车身附件及电器汽油泵故障,2021-01-24,处理反馈
567185,北京奔驰,奔驰GLB,2020款 GLB 200 动感型,北京奔驰GLB减配电磁碳罐阻尼器发动机异响,发动机异响其他疑似设计缺陷,2021-01-24,处理反馈
567184,东风日产,劲客,2018款 1.5L CVT 智联尊享版,东风日产劲客前车轮半轴漏油希望解决,前后桥及悬挂系统半轴渗油,2021-01-24,用户评分
567183,奇瑞汽车,捷途X70 PLUS,2021款 1.5T DCT 山 5座,捷途X70 PLUS变速箱降挡时明显异响,变速器异响,2021-01-24,处理反馈
567181,大众（进口）,Tiguan,2019款 330TSI 四驱 高配型,进口大众Tiguan全液晶仪表盘黑屏,车身附件及电器仪表故障,2021-01-24,信息审核
567179,一汽-大众,宝来,2019款 改款 1.5L 自动 精英型 国VI,一汽大众宝来车内异响 加油顿挫加速无反应,变速器顿挫变速器无法加速车身附件及电器车内异响,2021-01-24,处理反馈
567177,上汽通用别克,英朗,2021款 改款 典范 1.5L 自动 精英型,别克英朗与经销商签订协议但不予交车,承诺不兑现销售承诺不兑现,2021-01-24,用户评分
567176,华晨宝马,宝马5系,2021款 525Li M运动套装,华晨宝马5系选装音响无低音未处理,车身附件及电器影音系统故障,2021-01-24,信息审核
567175,奇瑞汽车,瑞虎7,2016款 1.5T 手动 耀目版,奇瑞瑞虎7低速倒车转向异响影响使用,转向系统异响车身附件及电器门窗异响,2021-01-24,处理反馈
567174,东风日产,逍客,2019款 2.0L CVT 智享版,东风日产逍客刹车踏板脚感生涩 异响未解决,制动系统异响制动系统刹车变硬,2021-01-24,处理反馈
567171,广汽本田,飞度,2018款 1.5L CVT 舒适版,广汽本田飞度发动机热车挂D挡明显抖动,发动机抖动,2021-01-24,用户评分
567170,奇瑞汽车,捷途X70 PLUS,2021款 1.6T DCT 地 7座,捷途X70 PLUS车灯远光灯不聚光距离近,车身附件及电器车灯不亮,2021-01-24,处理反馈
567169,江铃汽车,驭胜S330,2016款 1.5L GTDi 自动 两驱 尊贵版,江铃驭胜S330发动机火花塞处漏油,发动机漏油,2021-01-24,处理反馈
567168,长城汽车,哈弗F7x,2021款 2.0T 两驱 极智潮玩版,哈弗F7x车联网无网络服务远程控制无效,车身附件及电器车载互联故障,2021-01-24,用户评分
567167,长安汽车,奔奔E-Star,2021款 国民版 心悦版,长安奔奔E-Star保险杠喷漆经销商出售事故车,销售欺诈出售问题车,2021-01-24,用户评分
567166,长安汽车,奔奔MINI,2012款 1.0L 手动 亲情版 国IV,长安奔奔MINI转向卡滞 方向机异响,转向系统异响转向系统卡滞,2021-01-24,处理反馈
567164,吉利汽车,远景,2015款 1.5L 手动 精英型,吉利远景发动机正时链条断裂发动机损坏,发动机正时链条及齿轮故障,2021-01-24,处理反馈
567163,猎豹汽车,猎豹CS9,2017款 1.5L 手动 精英型,猎豹CS9发动机温度过高存在质量问题	,发动机冷却系统故障,2021-01-24,信息审核
567162,上汽通用雪佛兰,迈锐宝,2018款 530T 豪华版,雪佛兰迈锐宝挂入P挡后仪表显示未挂入,变速器挡把总成故障,2021-01-24,处理反馈
567161,广汽乘用车,传祺GS4,2021款 270T 自动 智联科技版,广汽传祺GS4发动机抖动 换挡时变速箱顿挫,发动机抖动变速器顿挫,2021-01-24,用户评分
567159,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯透镜发白 防冻液异常消耗,发动机漏防冻液车身附件及电器车灯不亮,2021-01-24,处理反馈
567158,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国Ⅵ,一汽大众探岳韩泰轮胎开裂存在安全隐患,轮胎开裂,2021-01-24,用户评分
567157,东风本田,本田UR-V,2020款 240TURBO 两驱 致雅版,东风本田UR-V发动机出现漏油的现象,发动机漏油,2021-01-24,处理反馈
567156,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动机故障导致发动机无法启动,发动机无法启动,2021-01-24,处理反馈
567154,广汽丰田,雷凌,2021款 185T CVT 进取版,广汽丰田雷凌起步或减速时有顿挫的现象,变速器顿挫,2021-01-24,处理反馈
567143,腾势汽车,腾势X,2020款 PHEV 运动版,腾势X行驶中加油无力抖动存在质量问题,发动机抖动发动机功率不足,2021-01-24,信息审核
567141,上汽通用别克,昂科威,2018款 20T 双离合 两驱 豪华型,别克昂科威安吉星无法支持软件下载,车身附件及电器车载互联故障,2021-01-24,用户评分
567140,东风标致,标致5008,2019款 380THP 精英版 7座,东风标致5008车身共振噪音大希望厂家处理,车身附件及电器车身共振,2021-01-24,处理反馈
567136,一汽丰田,亚洲龙,2019款 2.0L 豪华版 国VI,一汽丰田亚洲龙方向跑偏挡风玻璃开裂,前后桥及悬挂系统跑偏车身附件及电器玻璃开裂人员技术操作不规范,2021-01-24,用户评分
567130,长城汽车,哈弗H6,2020款 1.5GDIT 自动 铂金都市版,哈弗H6自动驻车与陡坡缓降故障灯亮,车身附件及电器行车安全辅助系统故障,2021-01-24,处理反馈
567128,上汽通用雪佛兰,迈锐宝XL,2019款 Redline 550T 自动 锐智版,雪佛兰迈锐宝XL冷车中控屏启动慢,车身附件及电器影音系统故障,2021-01-24,处理反馈
567126,东风本田,本田XR-V,2015款 1.5L LXi CVT经典版,东风本田XR-V冷车启动发动机异响,发动机异响,2021-01-24,用户评分
567124,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越仪表提示无法驻车希望处理,车身附件及电器行车安全辅助系统故障,2021-01-24,处理反馈
567123,江淮汽车,瑞风S3,2016款 1.5L 手动 豪华智能型,江淮瑞风S3变速箱内部齿轮磨损导致异响,变速器异响变速器机械部件故障,2021-01-24,用户评分
567122,一汽海马,福美来M5,2015款 1.6L 挚爱版,一汽海马福美来F5发动机异响抖动希望处理,发动机异响发动机抖动,2021-01-24,厂家受理
567121,奇瑞汽车,艾瑞泽5,2016款 1.5L CVT 领臻版,奇瑞艾瑞泽5主驾驶安全气囊故障灯亮,车身附件及电器气囊故障,2021-01-24,信息审核
567120,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度发动机报警 启动异响,发动机异响发动机故障灯亮,2021-01-24,用户评分
567118,一汽-大众奥迪,奥迪A4L,2019款 45 TFSI quattro 个性运动版 国VI,一汽大众奥迪A4L转向沉重两侧力度不一致,转向系统打方向沉重转向系统方向盘不正,2021-01-24,信息审核
567116,比亚迪,唐新能源,2021款 EV 四驱 高性能版 创世旗舰型,比亚迪唐新能源经销商无法按时提车不退押金,服务收费定（订）金纠纷承诺不兑现销售承诺不兑现,2021-01-24,处理反馈
567115,汉腾汽车,汉腾X5,2018款 1.5T 手动 豪华版,汉腾X5减震器天窗刹车挡风玻璃异响,制动系统异响前后桥及悬挂系统减震器异响车身附件及电器车身异响车身附件及电器天窗异响,2021-01-24,厂家受理
567114,一汽-大众,T-ROC探歌,2018款 280TSI DSG 两驱 舒适型 国V,一汽大众探歌A柱位置发生第二次漏水,车身附件及电器车身漏水,2021-01-24,处理反馈
567112,长安汽车,逸动,2012款 1.6 手动 尊贵型,长安逸动车身严重生锈希望尽快处理,车身附件及电器车身生锈,2021-01-24,处理反馈
567111,东风日产,轩逸,2021款 经典 1.6 XE CVT 舒适版,东风日产轩逸中控变速箱底盘异响,变速器异响前后桥及悬挂系统底盘异响车身附件及电器中控台异响,2021-01-24,处理反馈
567109,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L中控台异响要求解决,车身附件及电器中控台异响,2021-01-24,信息审核
